role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
POSSESSED,Fact_recepient_id_XOR,0.0,0.0,,20,10,
POSSESSED,Dis_id_Req(V),0.2891566265060241,0.2692307692307692,-0.031660682197624454,83,26,0.031660682197624454
POSSESSED,day1_vote_id_Req(T),1.205,0.44,-0.4831309947218036,200,200,0.4831309947218036
POSSESSED,Vote_recepient_id_XOR,0.0,0.0,,80,21,
POSSESSED,Exe,0.013333333333333334,0.03111111111111111,0.109809858680831,225,225,0.109809858680831
POSSESSED,Sus,1.3111111111111111,0.48,-0.5990294828504746,225,225,0.5990294828504746
POSSESSED,Vote_recepient_id_difficult,0.1,0.047619047619047616,-0.1317841175973599,80,21,0.1317841175973599
POSSESSED,Vote_recepient_id_ReqListen,0.1375,0.09523809523809523,-0.09613417457096061,80,21,0.09613417457096061
POSSESSED,Sus_recepient_id_Req(T),1.1875,0.7777777777777778,-0.22529745728273481,128,45,0.22529745728273481
POSSESSED,Est_id_Req(CO),0.0,0.0,,55,22,
POSSESSED,Dis_id_Mt,2.072289156626506,2.076923076923077,0.0014835312438669745,83,26,0.0014835312438669745
POSSESSED,calm,0.9422222222222222,0.3111111111111111,-0.3911180324601492,225,225,0.3911180324601492
POSSESSED,Est_id_Req(V),0.4,0.22727272727272727,-0.19135979022843289,55,22,0.19135979022843289
POSSESSED,Fact_recepient_id_Wait,0.7,0.0,-0.8125784195653133,20,10,0.8125784195653133
POSSESSED,Pers,1.1955555555555555,0.5155555555555555,-0.30716532492032944,225,225,0.30716532492032944
POSSESSED,Fact_recepient_id_contradiction,0.1,0.1,0.0,20,10,0.0
POSSESSED,Est_id_ReqListen,0.7090909090909091,0.13636363636363635,-0.2796008186835598,55,22,0.2796008186835598
POSSESSED,Req(CO),0.04,0.0,-0.2381362231150349,225,225,0.2381362231150349
POSSESSED,Fact_recepient_id_Req(V),0.1,0.0,-0.4594682917363407,20,10,0.4594682917363407
POSSESSED,day1_vote_id_difficult,0.2,0.05,-0.33562108013943687,200,200,0.33562108013943687
POSSESSED,Sus_recepient_id_IF,0.015625,0.044444444444444446,0.16788392908527333,128,45,0.16788392908527333
POSSESSED,Wait,0.29333333333333333,0.08,-0.328274508848162,225,225,0.328274508848162
POSSESSED,Sus_recepient_id_Vote,0.4375,0.4222222222222222,-0.016983173251617228,128,45,0.016983173251617228
POSSESSED,Est_id_Pers,1.8363636363636364,0.9545454545454546,-0.3248174503214706,55,22,0.3248174503214706
POSSESSED,Sus_recepient_id_calm,1.421875,0.8666666666666667,-0.21663734218564867,128,45,0.21663734218564867
POSSESSED,contradiction,0.12444444444444444,0.017777777777777778,-0.31175827228637093,225,225,0.31175827228637093
